Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,7.960000,8.000000,7.820000,7.840000,7.840000,298300
2018-01-17,7.920000,7.920000,7.630000,7.880000,7.880000,1064000
2018-01-18,7.900000,8.300000,7.900000,8.150000,8.150000,1764300
2018-01-19,8.280000,8.420000,8.230000,8.310000,8.310000,1570300
2018-01-22,8.350000,8.380000,8.110000,8.200000,8.200000,667700
2018-01-23,8.180000,8.180000,7.840000,7.880000,7.880000,1118300
2018-01-24,7.970000,8.200000,7.960000,8.040000,8.040000,672500
2018-01-25,8.040000,8.040000,8.040000,8.040000,8.040000,0
2018-01-26,8.150000,8.220000,8.080000,8.100000,8.100000,598900
2018-01-29,8.070000,8.070000,7.940000,7.990000,7.990000,1185100
2018-01-30,8.000000,8.030000,7.910000,7.950000,7.950000,256400
2018-01-31,7.990000,8.170000,7.970000,8.000000,8.000000,840300
2018-02-01,7.990000,8.070000,7.710000,7.870000,7.870000,1066200
2018-02-02,7.850000,7.850000,7.460000,7.700000,7.700000,1214100
2018-02-05,7.700000,7.700000,7.520000,7.570000,7.570000,242000
2018-02-06,7.520000,7.750000,7.240000,7.700000,7.700000,593700
2018-02-07,7.650000,7.720000,7.430000,7.530000,7.530000,444300
2018-02-08,7.610000,7.620000,7.350000,7.370000,7.370000,183600
2018-02-09,7.350000,7.480000,7.050000,7.100000,7.100000,628400
2018-02-14,null,null,null,null,null,null
2018-02-15,7.300000,7.400000,7.280000,7.330000,7.330000,352100
2018-02-16,7.330000,7.400000,7.150000,7.230000,7.230000,380700
2018-02-19,7.230000,7.280000,7.180000,7.250000,7.250000,335200
2018-02-20,7.210000,7.220000,7.080000,7.190000,7.190000,387800
2018-02-21,7.180000,7.190000,7.080000,7.100000,7.100000,344600
2018-02-22,7.150000,7.210000,7.080000,7.150000,7.150000,414300
2018-02-23,7.190000,7.190000,6.980000,7.000000,7.000000,863700
2018-02-26,7.050000,7.180000,7.020000,7.180000,7.180000,407200
2018-02-27,7.200000,7.240000,7.040000,7.160000,7.160000,317300
2018-02-28,7.110000,7.190000,7.020000,7.090000,7.090000,267300
2018-03-01,7.090000,7.130000,7.050000,7.050000,7.050000,264100
2018-03-02,7.030000,7.070000,6.900000,6.950000,6.950000,394200
2018-03-05,6.980000,7.380000,6.960000,7.300000,7.300000,931200
2018-03-06,7.370000,7.520000,7.050000,7.100000,7.100000,782900
2018-03-07,7.120000,7.130000,6.920000,6.950000,6.950000,548800
2018-03-08,6.950000,7.250000,6.950000,7.110000,7.110000,492600
2018-03-09,7.110000,7.400000,7.080000,7.390000,7.390000,1835200
